
#----------------------------------------------------
#TIMESTEP
#----------------------------------------------------

timestep	1

#----------------------------------------------------
#NPT RUN
#----------------------------------------------------

fix		fxnpt all npt temp 300 300 100 iso 1.0 1.0 1000.0

run		1000000
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 4.1
  ghost atom cutoff = 4.1
  binsize = 2.05 -> bins = 50 50 5
Memory usage per processor = 5.34324 Mbytes
Step Temp PotEng KinEng TotEng v_Fx v_Fy 
   62000    296.46849   -24140.156    3477.4235   -20662.732 1.4210855e-13 1.8474111e-13 
   63000    300.86057   -24082.399    3528.9403   -20553.458 1.3500312e-13 2.8421709e-13 
   64000    303.00796   -24124.151    3554.1281   -20570.023 1.3500312e-13 2.7000624e-13 
   65000    300.20567   -24085.008    3521.2587    -20563.75 -3.2684966e-13 4.2632564e-13 
   66000    301.97998   -24072.507    3542.0704   -20530.437 6.8212103e-13 -1.9184654e-13 
   67000    293.01545   -23989.028     3436.921   -20552.107 7.1054274e-14 4.405365e-13 
   68000     299.2971   -23846.766    3510.6016   -20336.164 4.2632564e-14 -5.2580162e-13 
   69000    302.68729   -23938.673    3550.3668   -20388.306 -2.2382096e-13 8.2600593e-14 
   70000    294.72874   -23841.437    3457.0171    -20384.42 -3.4816594e-13 6.0396133e-14 
   71000    308.42397   -23789.619    3617.6551   -20171.964 2.8421709e-14 2.0428104e-13 
   72000    300.22859   -23886.761    3521.5275   -20365.233 -3.5527137e-15 4.2632564e-13 
   73000    302.99625    -23826.33    3553.9907    -20272.34 -1.0658141e-13            0 
   74000    301.03006   -23563.354    3530.9284   -20032.426 -1.4210855e-13 1.4210855e-13 
   75000    303.38366   -23764.025    3558.5349    -20205.49 1.3677948e-13 1.9184654e-13 
   76000    303.77645   -23603.424     3563.142   -20040.282 -1.2789769e-13 1.1368684e-13 
   77000    303.40538    -23759.87    3558.7897    -20201.08 3.7658765e-13 -1.2079227e-13 
   78000    302.33044    -23708.49    3546.1811   -20162.309 6.0396133e-14 -1.9717561e-13 
   79000    299.18523   -23723.949    3509.2895    -20214.66 -4.1922021e-13 4.5297099e-14 
   80000    300.36401   -23711.973     3523.116   -20188.857 -1.3500312e-13 1.2789769e-13 
   81000     302.4071   -23532.364    3547.0803   -19985.284 1.8474111e-13 1.4566126e-13 
   82000    298.99361   -23494.157    3507.0418   -19987.115 1.4210855e-13 1.2079227e-13 
   83000    297.10648   -23432.825    3484.9067   -19947.918 1.1368684e-13 3.3928416e-13 
   84000    306.14039   -23346.796    3590.8699   -19755.926 -8.1712415e-14 -1.4210855e-14 
   85000    299.32805   -23379.511    3510.9646   -19868.547 -5.3290705e-14 3.0553338e-13 
   86000    303.74087   -23337.568    3562.7248   -19774.843 -4.9737992e-14 -3.1974423e-14 
   87000    299.18725   -23351.227    3509.3131   -19841.913 1.030287e-13 -1.030287e-13 
   88000    300.69293   -23302.393     3526.974   -19775.419 -3.4106051e-13 -1.8474111e-13 
   89000    295.63258   -23298.286    3467.6187   -19830.667 -8.5265128e-14 -5.6843419e-14 
   90000    298.39286   -23341.157    3499.9954   -19841.161 1.8829382e-13 1.6342483e-13 
