
#----------------------------------------------------
#TIMESTEP
#----------------------------------------------------

timestep	1

#----------------------------------------------------
#FIXES
#----------------------------------------------------

fix 		fxnvt all nvt temp 300.0 300.0 100.0
fix 		fxmom all momentum 1 linear 1 1 1 angular

#----------------------------------------------------
#EQUILIBRATION RUN
#----------------------------------------------------

run 		1000000
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4 -> bins = 6 6 2
Memory usage per processor = 6.24631 Mbytes
Step Temp PotEng KinEng TotEng v_Fx v_Fy 
   63000    307.85013    -30568.11    164.25805   -30403.852 4.2632564e-14 -2.1316282e-13 
   64000    307.78635   -30549.338    164.22402   -30385.114 -2.2737368e-13 1.4210855e-14 
   65000    295.03113   -30544.102    157.41828   -30386.684 -1.4210855e-14 1.4210855e-14 
   66000    296.79604   -30538.892    158.35998   -30380.532            0 -4.2632564e-14 
   67000    307.06829   -30525.984    163.84089   -30362.143 -8.5265128e-14 -5.6843419e-14 
   68000    312.09539   -30524.204    166.52318    -30357.68 -9.2370556e-14 -2.2737368e-13 
   69000    296.51109    -30548.13    158.20794   -30389.922 -1.4210855e-13 -1.2789769e-13 
   70000    291.24691   -30550.388    155.39916   -30394.989 4.9737992e-14 1.4566126e-13 
   71000    286.03631   -30529.206    152.61897   -30376.587 -1.1368684e-13 -1.4210855e-14 
   72000    322.46028   -30543.202    172.05352   -30371.149 8.5265128e-14 5.6843419e-14 
   73000    297.68328   -30541.602    158.83338   -30382.769 8.1712415e-14 2.8421709e-14 
   74000    279.18566   -30542.107     148.9637   -30393.144 2.8421709e-14 -1.1368684e-13 
   75000    297.33128   -30542.912    158.64557   -30384.267 1.1368684e-13 -4.2632564e-14 
   76000    311.48577   -30524.258    166.19791    -30358.06 -1.7053026e-13 2.8421709e-14 
   77000    307.41168    -30529.25    164.02411   -30365.225 -8.5265128e-14 -7.1054274e-14 
   78000    273.26677   -30546.067    145.80559   -30400.261 -2.1316282e-14 -1.4210855e-14 
   79000    312.04427   -30532.551     166.4959   -30366.055 -9.9475983e-14 -2.1316282e-14 
   80000    293.09454   -30546.608    156.38499   -30390.223 1.0658141e-13 -9.9475983e-14 
   81000    290.95764   -30523.753    155.24481   -30368.508 -7.1054274e-14 1.4210855e-14 
   82000      305.996   -30527.539    163.26875    -30364.27 1.4210855e-13 1.4210855e-14 
   83000    297.39163   -30540.325    158.67777   -30381.647            0            0 
   84000    293.36253   -30525.356    156.52798   -30368.828 8.5265128e-14 -1.9895197e-13 
   85000    297.86548   -30534.131    158.93059   -30375.201 1.2079227e-13 7.8159701e-14 
   86000    270.93329   -30529.986    144.56052   -30385.425 1.9184654e-13 1.2789769e-13 
   87000    311.91075   -30539.206    166.42466   -30372.781 2.2026825e-13 -1.8474111e-13 
   88000    280.57879   -30529.676    149.70702   -30379.969 -1.4210855e-14 -7.8159701e-14 
   89000    306.83818   -30527.508    163.71811    -30363.79 1.1368684e-13 -1.7053026e-13 
   90000    294.19302   -30530.848     156.9711   -30373.877 -5.6843419e-14 8.5265128e-14 
   91000    307.09324   -30551.364    163.85421    -30387.51 7.1054274e-15 -5.6843419e-14 
   92000    294.12967   -30534.009    156.93729   -30377.072 3.5527137e-14 -5.6843419e-14 
   93000    337.89263   -30548.897    180.28768   -30368.609 -8.5265128e-14 1.4210855e-13 
   94000    288.81596   -30543.006    154.10209   -30388.904 -1.563194e-13 1.9895197e-13 
   95000    300.01618   -30532.127    160.07813   -30372.049 -5.6843419e-14 -2.8421709e-14 
   96000    306.62736   -30546.672    163.60563   -30383.066 2.8421709e-14 8.5265128e-14 
   97000    281.58551   -30544.248    150.24417   -30394.004 1.7763568e-14 -1.7763568e-13 
   98000    300.31763   -30524.034    160.23898   -30363.795 1.4210855e-13 2.8421709e-14 
   99000    321.15359   -30533.883    171.35631   -30362.526 -1.7053026e-13 -1.563194e-13 
  100000    280.63139   -30549.063    149.73509   -30399.328 -1.7763568e-13 1.1368684e-13 
  101000    304.31204   -30544.052    162.37025   -30381.681 1.4210855e-14 5.6843419e-14 
  102000    305.24515   -30533.268    162.86813     -30370.4 1.9895197e-13 1.1368684e-13 
  103000    258.99456    -30524.99    138.19043   -30386.799 -1.2789769e-13 2.8421709e-14 
  104000    299.61167   -30543.186     159.8623   -30383.324 1.2079227e-13 2.8421709e-14 
  105000    302.59145   -30538.047    161.45221   -30376.595 -1.1368684e-13 1.9895197e-13 
  106000    330.94839    -30544.78    176.58248   -30368.197 -2.8421709e-14 -9.2370556e-14 
  107000    274.77438   -30549.892    146.60999   -30403.282 -1.6342483e-13 1.4210855e-14 
  108000    307.70984   -30536.483     164.1832     -30372.3            0 1.4210855e-14 
  109000    298.82033   -30537.222    159.44007   -30377.782 -4.6185278e-14 1.4210855e-14 
  110000     291.5379   -30531.087    155.55442   -30375.532 5.6843419e-14 -8.5265128e-14 
  111000    313.11252   -30529.419    167.06588   -30362.353 -1.4210855e-14 -1.1368684e-13 
  112000    281.29558   -30530.074    150.08948   -30379.985 1.1368684e-13 2.7711167e-13 
  113000    284.99169   -30542.529    152.06159   -30390.468 2.8421709e-14 1.7053026e-13 
  114000    346.32502   -30540.001    184.78691   -30355.215 2.2737368e-13 5.6843419e-14 
  115000    291.66353   -30542.239    155.62145   -30386.618 -4.2632564e-14 -5.6843419e-14 
  116000     311.0726    -30538.29    165.97745   -30372.312 -1.4210855e-14 2.1316282e-14 
  117000    309.66501   -30554.701    165.22641   -30389.475 -2.8421709e-13 9.9475983e-14 
  118000     300.4958   -30544.402    160.33404   -30384.068 9.9475983e-14 -2.1316282e-13 
  119000    279.97164   -30518.923    149.38307    -30369.54 -1.3145041e-13 2.8421709e-14 
  120000    292.45396   -30544.636     156.0432   -30388.593 -1.1368684e-13 -1.1368684e-13 
  121000    303.55392   -30543.636    161.96575    -30381.67 2.8421709e-14 -1.9895197e-13 
  122000    299.15986   -30530.775    159.62123   -30371.153 5.6843419e-14 2.8421709e-14 
  123000    334.23305   -30528.163    178.33506   -30349.828 3.5527137e-13            0 
  124000    278.40198   -30529.232    148.54555   -30380.686 -3.1974423e-13 -1.7053026e-13 
  125000    283.88356   -30509.797    151.47033   -30358.326 -1.1368684e-13            0 
  126000    299.63597   -30549.621    159.87527   -30389.746 2.4868996e-14            0 
  127000    293.37935    -30558.39    156.53695   -30401.853 -5.6843419e-14 1.2789769e-13 
  128000    311.13703   -30532.446    166.01183   -30366.434 -2.344791e-13 -1.8474111e-13 
  129000     279.8395   -30548.326    149.31256   -30399.013            0 -1.3855583e-13 
  130000    293.13293   -30533.716    156.40547   -30377.311 2.4868996e-14            0 
  131000    315.24057   -30534.328    168.20134   -30366.126 1.1368684e-13 2.344791e-13 
  132000    302.52783   -30538.142    161.41826   -30376.723 8.5265128e-14 1.4210855e-14 
  133000    296.17895   -30525.844    158.03072   -30367.814 3.5527137e-14 -9.9475983e-14 
  134000    273.48617   -30548.678    145.92265   -30402.756 1.1546319e-13 1.8474111e-13 
  135000    326.10568   -30542.934    173.99858   -30368.936 -8.5265128e-14 9.9475983e-14 
  136000    314.42615   -30530.456    167.76679   -30362.689 5.6843419e-14 -2.7000624e-13 
  137000    271.53356   -30550.489     144.8808   -30405.608 2.8421709e-14 -8.5265128e-14 
  138000    308.51846   -30534.713    164.61465   -30370.099 7.8159701e-14 1.2789769e-13 
  139000    346.98664   -30542.481    185.13993   -30357.341 1.7763568e-13 2.0605739e-13 
  140000    298.66101   -30540.419    159.35506   -30381.064 7.1054274e-14 -5.6843419e-14 
  141000     306.6306   -30534.457    163.60736    -30370.85 1.4210855e-14 1.1368684e-13 
  142000    320.67939   -30529.921     171.1033   -30358.818 4.2632564e-14 6.3948846e-14 
  143000    303.55561   -30545.673    161.96665   -30383.707 1.0658141e-13 -1.1368684e-13 
  144000    266.43399   -30531.646    142.15985   -30389.487 1.1368684e-13 -8.5265128e-14 
  145000    297.40882   -30534.281    158.68693   -30375.594            0 1.4210855e-14 
  146000    316.11644   -30540.187    168.66867   -30371.519            0 -1.4210855e-14 
  147000    287.83092   -30532.314     153.5765   -30378.738 1.9895197e-13 2.2737368e-13 
  148000    307.17079   -30543.782    163.89558   -30379.886 -7.8159701e-14 -5.6843419e-14 
  149000    354.62329   -30523.581    189.21457   -30334.366 -5.6843419e-14 1.6342483e-13 
  150000    265.15698   -30520.679    141.47848     -30379.2 8.5265128e-14 -1.2079227e-13 
  151000    319.61408   -30535.562    170.53488   -30365.027 1.4210855e-14            0 
  152000    306.31973   -30536.318    163.44149   -30372.876 -1.0658141e-13 -1.4210855e-13 
  153000    292.70229   -30529.566    156.17569    -30373.39 4.2632564e-14 -1.4210855e-13 
  154000    334.52856   -30530.769    178.49273   -30352.276 7.8159701e-14 -6.750156e-14 
  155000     323.5558   -30543.833    172.63805   -30371.195 3.5527137e-14 2.2737368e-13 
  156000    280.33045   -30552.129    149.57452   -30402.555 1.7053026e-13 -1.2079227e-13 
  157000     299.4231   -30528.475    159.76169   -30368.714 2.8421709e-14 5.6843419e-14 
  158000    282.52738    -30545.65    150.74672   -30394.904 1.2789769e-13 2.1316282e-13 
  159000    273.88213   -30516.765    146.13392   -30370.631 -3.4106051e-13 1.1368684e-13 
  160000     297.5675    -30528.51     158.7716   -30369.739 8.5265128e-14 -2.9842795e-13 
  161000    292.95257   -30562.775    156.30924   -30406.466 3.5527137e-14 -1.4210855e-14 
  162000    277.02641   -30522.976    147.81159   -30375.164 -5.6843419e-14 -9.2370556e-14 
  163000      308.485   -30546.916     164.5968   -30382.319 2.8421709e-13 -7.1054274e-14 
  164000    325.23585   -30534.382    173.53446   -30360.848 -9.9475983e-14 3.5527137e-14 
  165000    296.98369   -30543.663     158.4601   -30385.203 1.9184654e-13 9.9475983e-14 
  166000    283.72039   -30549.777    151.38327   -30398.394 8.5265128e-14 -1.6342483e-13 
  167000    298.67228   -30529.964    159.36108   -30370.603            0 7.1054274e-14 
  168000    288.69919    -30549.21    154.03978   -30395.171 8.5265128e-14 7.1054274e-14 
  169000    281.15101   -30539.721    150.01234   -30389.709 3.2684966e-13 -1.1368684e-13 
  170000    304.39569   -30522.872    162.41489   -30360.457 1.4210855e-14 1.563194e-13 
  171000    295.81316   -30543.525    157.83555    -30385.69 -2.8421709e-14 -1.1368684e-13 
  172000      306.874   -30544.907    163.73723   -30381.169 9.9475983e-14 1.7763568e-13 
  173000    288.62428   -30521.931    153.99981   -30367.931 1.4210855e-14            0 
  174000    303.37796   -30545.172    161.87186     -30383.3 4.2632564e-14 1.1368684e-13 
  175000    325.98943   -30549.039    173.93655   -30375.102 -3.5527137e-14 -2.1316282e-14 
  176000    285.41996   -30524.616     152.2901   -30372.325 -4.2632564e-14 -4.2632564e-14 
  177000    292.35703   -30546.533    155.99148   -30390.542 -2.8421709e-13 1.4210855e-13 
  178000    317.20394   -30539.316    169.24892   -30370.068 1.1368684e-13 7.8159701e-14 
  179000    286.39758   -30553.758    152.81173   -30400.947 2.8421709e-13 -2.1316282e-13 
  180000    318.17017   -30541.778    169.76447   -30372.014 7.1054274e-14 1.9895197e-13 
  181000    315.66035   -30532.366    168.42531   -30363.941 8.5265128e-14 7.1054274e-14 
  182000    271.38997   -30530.026    144.80419   -30385.222 -3.2684966e-13 -8.5265128e-14 
  183000    323.29968   -30531.023     172.5014   -30358.522 -2.344791e-13 7.1054274e-15 
  184000     318.4991   -30534.856    169.93997   -30364.916 -1.4210855e-13 -1.4210855e-14 
  185000    298.78571   -30546.346     159.4216   -30386.924 5.6843419e-14 -2.2737368e-13 
  186000    321.03304   -30525.575    171.29199   -30354.283 -1.1368684e-13 -6.3948846e-14 
  187000    291.16641   -30541.767     155.3562   -30386.411 1.9539925e-13 -5.6843419e-14 
  188000    286.59445   -30543.153    152.91677   -30390.236 -5.6843419e-14 1.4210855e-14 
  189000    299.28074   -30540.502    159.68573   -30380.816 -1.1013412e-13 -6.0396133e-14 
  190000    300.66917   -30515.041    160.42655   -30354.614 8.5265128e-14 -8.5265128e-14 
  191000    274.88864   -30517.079    146.67096   -30370.408 -1.0658141e-13 -4.2632564e-14 
  192000    322.22349   -30538.158    171.92718   -30366.231 -2.8421709e-14 -2.1316282e-14 
  193000    277.54253   -30546.836    148.08698   -30398.749 2.2737368e-13 4.2632564e-14 
  194000    307.53085    -30547.41     164.0877   -30383.323 1.1368684e-13 -2.1316282e-14 
  195000    305.05027   -30524.328    162.76415   -30361.564 -8.5265128e-14            0 
  196000    315.30962   -30538.101    168.23818   -30369.863 -2.7000624e-13 2.2737368e-13 
  197000    304.33061    -30542.63    162.38016   -30380.249 7.1054274e-14 -2.344791e-13 
  198000    292.81206   -30523.719    156.23427   -30367.485 5.3290705e-14 5.6843419e-14 
  199000    307.60935   -30540.619    164.12958   -30376.489 1.4210855e-14 -7.1054274e-14 
  200000    265.69391    -30534.13    141.76497   -30392.365 -4.9737992e-14 -8.5265128e-14 
  201000    337.68329   -30530.333    180.17599   -30350.157 -1.563194e-13 -2.1316282e-14 
  202000    321.27733   -30550.556    171.42234   -30379.133 -2.7000624e-13 -3.1974423e-13 
  203000    321.69199   -30541.337    171.64359   -30369.693 -1.4210855e-14 5.6843419e-14 
  204000    312.95573   -30524.507    166.98222   -30357.525 1.4210855e-14 6.3948846e-14 
  205000    264.50254   -30536.193     141.1293   -30395.063 -2.5579538e-13 5.6843419e-14 
  206000     286.6177   -30536.483    152.92917   -30383.554 -1.9184654e-13 4.9737992e-14 
  207000    307.19979   -30517.771    163.91106    -30353.86 -5.3290705e-14 -7.1054274e-15 
  208000    294.94008   -30515.054     157.3697   -30357.685 -1.4210855e-13 2.8421709e-14 
  209000    295.29764   -30543.082    157.56048   -30385.522 1.7053026e-13 -1.4210855e-13 
